FP001479	100.000	300	111756073	111755774	minus
FP000834	100.000	300	45206828	45206529	minus
FP000860	100.000	300	46174838	46175137	plus
FP002131	100.000	300	162497597	162497896	plus
FP002407	100.000	300	197775729	197775430	minus
FP002527	100.000	300	205256947	205257246	plus
FP002078	100.000	300	161039199	161038900	minus
FP002517	100.000	300	204870613	204870912	plus
FP002395	100.000	300	196827879	196828178	plus
FP000526	100.000	300	28235875	28236174	plus
FP002391	100.000	300	196651795	196652094	plus
FP002582	100.000	300	207454079	207454378	plus
FP002532	100.000	300	205504426	205504725	plus
FP001997	100.000	300	157777381	157777082	minus
FP002148	100.000	300	165527878	165527579	minus
FP000753	100.000	300	42456294	42456593	plus
FP002361	100.000	300	185156943	185157242	plus
FP000887	100.000	300	46719353	46719054	minus
FP001128	100.000	300	75786435	75786734	plus
FP000490	100.000	300	26826481	26826780	plus
FP002032	100.000	300	159855027	159854728	minus
FP002247	100.000	300	173866161	173865862	minus
FP001784	100.000	300	153616573	153616274	minus
FP002569	100.000	300	206865146	206865445	plus
FP001744	100.000	300	152983832	152984131	plus
FP002801	100.000	300	231528805	231528506	minus
FP000878	100.000	300	46489587	46489886	plus
FP001392	100.000	300	108876913	108877212	plus
FP002735	100.000	300	226223415	226223714	plus
FP000512	100.000	300	27773003	27773302	plus
FP002800	100.000	300	231422536	231422237	minus
FP000060	100.000	300	1919049	1918750	minus
FP001574	100.000	300	145721813	145721514	minus
FP001230	100.000	300	88982942	88982643	minus
FP001010	100.000	300	58784265	58783966	minus
FP002107	100.000	300	161258496	161258795	plus
FP001159	100.000	300	79006871	79006572	minus
FP002332	100.000	300	183023181	183023480	plus
FP000829	100.000	300	44843319	44843020	minus
FP002618	100.000	300	211326584	211326883	plus
FP001927	100.000	300	155978791	155978492	minus
FP000105	100.000	300	3900507	3900208	minus
FP000435	100.000	300	24643053	24643352	plus
FP002190	100.000	300	168576356	168576655	plus
FP000090	100.000	300	3531660	3531361	minus
FP002866	100.000	300	241847737	241848036	plus
FP001506	100.000	300	113759735	113759436	minus
FP001001	100.000	300	56579656	56579357	minus
FP000837	100.000	300	45340369	45340070	minus
FP000519	100.000	300	27959310	27959609	plus
FP001830	100.000	300	154255045	154255344	plus
FP000655	100.000	300	36224198	36224497	plus
FP002356	100.000	300	185044999	185045298	plus
FP000869	100.000	300	46303449	46303748	plus
FP001279	100.000	300	92961711	92961412	minus
FP001031	100.000	300	62436801	62437100	plus
FP000660	100.000	300	36398155	36397856	minus
FP000191	100.000	300	10796868	10796569	minus
FP001419	100.000	300	109656080	109656379	plus
FP002313	100.000	300	181033138	181033437	plus
FP002626	100.000	300	212035544	212035843	plus
FP002218	100.000	300	171313934	171314233	plus
FP000106	100.000	300	4654963	4655262	plus
FP000112	100.000	300	6199843	6199544	minus
FP001441	100.000	300	110407943	110407644	minus
FP001036	100.000	300	62754157	62754456	plus
